Ticket ID,Timestamp,Issue Type,User Query,User ID
ESC-4FED5C66,2025-11-02T13:08:54.103514,IT,I have issue with wifi connectivity,4e921fc6-c305-41b6-a09e-d996d9d4cca6
ESC-2CF1B3FF,2025-11-02T13:12:19.952321,OTHER,I want to know about sales in CSU,7b8ffa7e-3b0e-409f-a447-726de87c71aa
